Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Revenue,journey_month,journey_day,journey_weekday,journey_quarter,month_name,duration_mins,stops_clean,dep_hour,dep_time_of_day,arrival_hour,arrival_time_of_day,price_band
Jet Airways,2019-06-09,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,In-flight meal not included,15812,15812,6,9,6,2,Jun,440,2,11,Morning,19,Evening,Premium
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,20:00,22/05/26 8:15,12h 15m,1 stop,No info,14781,14781,5,12,6,2,May,735,1,20,Evening,8,Morning,Premium
Air India,2019-03-24,Delhi,Cochin,DEL → BLR → COK,13:30,23:00,9h 30m,1 stop,No info,8907,8907,3,24,6,1,Mar,570,1,13,Afternoon,23,Night,Mid-Range
Air India,2019-05-01,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4145,4145,5,1,2,2,May,155,0,20,Evening,23,Night,Budget
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,20:25,10/06/26 9:45,13h 20m,1 stop,No info,14151,14151,6,9,6,2,Jun,800,1,20,Evening,9,Morning,Premium
Multiple carriers,2019-05-12,Delhi,Cochin,DEL → BOM → COK,6:00,15:30,9h 30m,1 stop,No info,7845,7845,5,12,6,2,May,570,1,6,Morning,15,Afternoon,Mid-Range
Multiple carriers,2019-03-24,Delhi,Cochin,DEL → BOM → COK,9:15,19:15,10h,1 stop,No info,8099,8099,3,24,6,1,Mar,600,1,9,Morning,19,Evening,Mid-Range
Multiple carriers,2019-05-01,Delhi,Cochin,DEL → BOM → COK,15:00,28/05/26 1:30,10h 30m,1 stop,No info,13377,13377,5,1,2,2,May,630,1,15,Afternoon,1,Night,Premium
Air India,2019-06-09,Banglore,New Delhi,BLR → HYD → VGA → DEL,6:50,13/03/26 11:20,28h 30m,2 stops,No info,12734,12734,6,9,6,2,Jun,1710,2,6,Morning,11,Morning,Premium
Jet Airways,2019-05-12,Delhi,Cochin,DEL → BOM → COK,22:50,04/06/26 4:25,5h 35m,1 stop,In-flight meal not included,10262,10262,5,12,6,2,May,335,1,22,Night,4,Night,Premium
Jet Airways,2019-03-24,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,No info,7229,7229,3,24,6,1,Mar,185,0,18,Evening,22,Night,Mid-Range
Vistara,2019-05-01,Mumbai,Hyderabad,BOM → DEL → HYD,8:45,07/03/26 9:25,24h 40m,1 stop,No info,12395,12395,5,1,2,2,May,1480,1,8,Morning,9,Morning,Premium
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,19:45,25/03/26 9:15,13h 30m,1 stop,In-flight meal not included,11134,11134,6,9,6,2,Jun,810,1,19,Evening,9,Morning,Premium
Jet Airways,2019-05-12,Delhi,Cochin,DEL → BOM → COK,13:00,18:50,5h 50m,1 stop,In-flight meal not included,6540,6540,5,12,6,2,May,350,1,13,Afternoon,18,Evening,Mid-Range
Multiple carriers,2019-03-24,Delhi,Cochin,DEL → BOM → COK,6:40,19:15,12h 35m,1 stop,No info,7354,7354,3,24,6,1,Mar,755,1,6,Morning,19,Evening,Mid-Range
Air India,2019-05-01,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,25/06/26 7:40,19h 40m,2 stops,No info,9548,9548,5,1,2,2,May,1180,2,12,Afternoon,7,Morning,Mid-Range
Vistara,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,7:10,02/05/26 10:45,27h 35m,1 stop,No info,9187,9187,6,9,6,2,Jun,1655,1,7,Morning,10,Morning,Mid-Range
IndiGo,2019-05-12,Delhi,Cochin,DEL → HYD → COK,7:35,12:10,4h 35m,1 stop,No info,5054,5054,5,12,6,2,May,275,1,7,Morning,12,Afternoon,Mid-Range
Air India,2019-03-24,Kolkata,Banglore,CCU → DEL → BLR,10:00,20:25,10h 25m,1 stop,No info,10413,10413,3,24,6,1,Mar,625,1,10,Morning,20,Evening,Premium
IndiGo,2019-05-01,Kolkata,Banglore,CCU → BLR,21:25,28/05/26 0:05,2h 40m,non-stop,No info,4804,4804,5,1,2,2,May,160,0,21,Night,0,Night,Budget
IndiGo,2019-06-09,Mumbai,Hyderabad,BOM → HYD,6:25,7:55,1h 30m,non-stop,No info,4049,4049,6,9,6,2,Jun,90,0,6,Morning,7,Morning,Budget
Multiple carriers,2019-05-12,Delhi,Cochin,DEL → BOM → COK,19:00,28/06/26 1:30,6h 30m,1 stop,No info,6795,6795,5,12,6,2,May,390,1,19,Evening,1,Night,Mid-Range
Air India,2019-03-24,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4435,4435,3,24,6,1,Mar,155,0,20,Evening,23,Night,Budget
Jet Airways,2019-05-01,Kolkata,Banglore,CCU → BOM → BLR,16:30,13/06/26 4:40,12h 10m,1 stop,In-flight meal not included,6224,6224,5,1,2,2,May,730,1,16,Afternoon,4,Night,Mid-Range
IndiGo,2019-06-09,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4804,4804,6,9,6,2,Jun,155,0,20,Evening,22,Night,Budget
IndiGo,2019-05-12,Delhi,Cochin,DEL → HYD → COK,5:05,16:10,11h 5m,1 stop,No info,6171,6171,5,12,6,2,May,665,1,5,Morning,16,Afternoon,Mid-Range
IndiGo,2019-03-24,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9h 35m,1 stop,No info,6093,6093,3,24,6,1,Mar,575,1,11,Morning,21,Night,Mid-Range
IndiGo,2019-05-01,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4174,4174,5,1,2,2,May,155,0,17,Evening,19,Evening,Budget
IndiGo,2019-06-09,Mumbai,Hyderabad,BOM → HYD,2:35,4:05,1h 30m,non-stop,No info,3342,3342,6,9,6,2,Jun,90,0,2,Night,4,Night,Budget
Multiple carriers,2019-05-12,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,13587,13587,5,12,6,2,May,660,1,10,Morning,21,Night,Premium
Jet Airways,2019-03-24,Delhi,Cochin,DEL → BOM → COK,21:50,22/05/26 4:25,6h 35m,1 stop,No info,16079,16079,3,24,6,1,Mar,395,1,21,Night,4,Night,Premium
IndiGo,2019-05-01,Delhi,Cochin,DEL → COK,5:35,8:50,3h 15m,non-stop,No info,6015,6015,5,1,2,2,May,195,0,5,Morning,8,Morning,Mid-Range
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,17:00,25/05/26 19:10,26h 10m,1 stop,No info,13067,13067,6,9,6,2,Jun,1570,1,17,Evening,19,Evening,Premium
Multiple carriers,2019-05-12,Delhi,Cochin,DEL → BOM → COK,4:55,12:35,7h 40m,1 stop,No info,9103,9103,5,12,6,2,May,460,1,4,Night,12,Afternoon,Mid-Range
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → DEL → BLR,20:25,25/05/26 23:35,27h 10m,1 stop,No info,14151,14151,3,24,6,1,Mar,1630,1,20,Evening,23,Night,Premium
Jet Airways,2019-05-01,Delhi,Cochin,DEL → IXC → BOM → COK,6:20,18:50,12h 30m,2 stops,No info,11538,11538,5,1,2,2,May,750,2,6,Morning,18,Evening,Premium
IndiGo,2019-06-09,Delhi,Cochin,DEL → HYD → MAA → COK,8:35,21:20,12h 45m,2 stops,No info,8146,8146,6,9,6,2,Jun,765,2,8,Morning,21,Night,Mid-Range
Air India,2019-05-12,Kolkata,Banglore,CCU → HYD → BLR,19:00,07/05/26 4:40,9h 40m,1 stop,No info,6117,6117,5,12,6,2,May,580,1,19,Evening,4,Night,Mid-Range
Jet Airways,2019-03-24,Delhi,Cochin,DEL → BOM → COK,2:15,04/03/26 4:25,26h 10m,1 stop,No info,17024,17024,3,24,6,1,Mar,1570,1,2,Night,4,Night,Premium
Jet Airways,2019-05-01,Banglore,New Delhi,BLR → BOM → DEL,14:05,02/03/26 7:40,17h 35m,1 stop,1 Long layover,22270,22270,5,1,2,2,May,1055,1,14,Afternoon,7,Morning,Premium
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,20:25,10/06/26 21:05,24h 40m,1 stop,No info,12692,12692,6,9,6,2,Jun,1480,1,20,Evening,21,Night,Premium
Vistara,2019-05-12,Kolkata,Banglore,CCU → DEL → BLR,7:10,20:20,13h 10m,1 stop,No info,8610,8610,5,12,6,2,May,790,1,7,Morning,20,Evening,Mid-Range
Multiple carriers,2019-03-24,Delhi,Cochin,DEL → HYD → COK,7:10,22:30,15h 20m,1 stop,No info,6723,6723,3,24,6,1,Mar,920,1,7,Morning,22,Night,Mid-Range
Vistara,2019-05-01,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,4878,4878,5,1,2,2,May,155,0,17,Evening,19,Evening,Budget
Jet Airways,2019-06-09,Banglore,New Delhi,BLR → BOM → DEL,20:35,07/03/26 7:40,11h 5m,1 stop,No info,16736,16736,6,9,6,2,Jun,665,1,20,Evening,7,Morning,Premium
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,13:55,25/03/26 9:15,19h 20m,1 stop,In-flight meal not included,11134,11134,5,12,6,2,May,1160,1,13,Afternoon,9,Morning,Premium
IndiGo,2019-03-24,Banglore,Delhi,BLR → DEL,4:00,6:50,2h 50m,non-stop,No info,3943,3943,3,24,6,1,Mar,170,0,4,Night,6,Morning,Budget
Multiple carriers,2019-05-01,Delhi,Cochin,DEL → BOM → COK,9:00,21:00,12h,1 stop,No info,13587,13587,5,1,2,2,May,720,1,9,Morning,21,Night,Premium
Jet Airways,2019-06-09,Delhi,Cochin,DEL → IDR → BOM → COK,5:25,07/03/26 4:25,23h,2 stops,No info,16914,16914,6,9,6,2,Jun,1380,2,5,Morning,4,Night,Premium
SpiceJet,2019-05-12,Mumbai,Hyderabad,BOM → HYD,22:45,19/05/26 0:15,1h 30m,non-stop,No check-in baggage included,1965,1965,5,12,6,2,May,90,0,22,Night,0,Night,Budget
Multiple carriers,2019-03-24,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,8073,8073,3,24,6,1,Mar,480,1,13,Afternoon,21,Night,Mid-Range
IndiGo,2019-05-01,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,3943,3943,5,1,2,2,May,170,0,13,Afternoon,15,Afternoon,Budget
IndiGo,2019-06-09,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:05,4h 50m,1 stop,No info,5170,5170,6,9,6,2,Jun,290,1,15,Afternoon,20,Evening,Mid-Range
GoAir,2019-05-12,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3398,3398,5,12,6,2,May,170,0,11,Morning,14,Afternoon,Budget
Air Asia,2019-03-24,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,non-stop,No info,4409,4409,3,24,6,1,Mar,155,0,10,Morning,12,Afternoon,Budget
Jet Airways,2019-05-01,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,No info,8541,8541,5,1,2,2,May,180,0,17,Evening,20,Evening,Mid-Range
IndiGo,2019-06-09,Banglore,New Delhi,BLR → DEL,4:00,6:50,2h 50m,non-stop,No info,4777,4777,6,9,6,2,Jun,170,0,4,Night,6,Morning,Budget
SpiceJet,2019-05-12,Kolkata,Banglore,CCU → BLR,22:20,19/03/26 0:40,2h 20m,non-stop,No info,3847,3847,5,12,6,2,May,140,0,22,Night,0,Night,Budget
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,18:55,02/04/26 12:00,17h 5m,1 stop,In-flight meal not included,7064,7064,3,24,6,1,Mar,1025,1,18,Evening,12,Afternoon,Mid-Range
Vistara,2019-05-01,Banglore,Delhi,BLR → DEL,21:00,23:50,2h 50m,non-stop,No info,4668,4668,5,1,2,2,May,170,0,21,Night,23,Night,Budget
SpiceJet,2019-06-09,Mumbai,Hyderabad,BOM → HYD,22:45,19/03/26 0:10,1h 25m,non-stop,No check-in baggage included,1965,1965,6,9,6,2,Jun,85,0,22,Night,0,Night,Budget
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,6:30,16:20,9h 50m,1 stop,No info,14781,14781,5,12,6,2,May,590,1,6,Morning,16,Afternoon,Premium
IndiGo,2019-03-24,Mumbai,Hyderabad,BOM → HYD,9:10,10:40,1h 30m,non-stop,No info,4049,4049,3,24,6,1,Mar,90,0,9,Morning,10,Morning,Budget
Jet Airways,2019-05-01,Kolkata,Banglore,CCU → BOM → BLR,18:55,19/05/26 8:15,13h 20m,1 stop,No info,13584,13584,5,1,2,2,May,800,1,18,Evening,8,Morning,Premium
Jet Airways,2019-06-09,Delhi,Cochin,DEL → BOM → COK,20:55,19/05/26 12:35,15h 40m,1 stop,In-flight meal not included,12373,12373,6,9,6,2,Jun,940,1,20,Evening,12,Afternoon,Premium
Jet Airways,2019-05-12,Delhi,Cochin,DEL → BOM → COK,16:00,28/05/26 19:00,27h,1 stop,No info,16079,16079,5,12,6,2,May,1620,1,16,Afternoon,19,Evening,Premium
Jet Airways,2019-03-24,Banglore,Delhi,BLR → DEL,8:20,11:20,3h,non-stop,No info,7229,7229,3,24,6,1,Mar,180,0,8,Morning,11,Morning,Mid-Range
Jet Airways,2019-05-01,Banglore,New Delhi,BLR → BOM → DEL,21:25,07/03/26 21:20,23h 55m,1 stop,No info,17471,17471,5,1,2,2,May,1435,1,21,Night,21,Night,Premium
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,6:30,16:20,9h 50m,1 stop,No info,14781,14781,6,9,6,2,Jun,590,1,6,Morning,16,Afternoon,Premium
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,6:30,19:50,13h 20m,1 stop,No info,14571,14571,5,12,6,2,May,800,1,6,Morning,19,Evening,Premium
Multiple carriers,2019-03-24,Delhi,Cochin,DEL → BOM → COK,3:50,12:35,8h 45m,1 stop,No info,10197,10197,3,24,6,1,Mar,525,1,3,Night,12,Afternoon,Premium
SpiceJet,2019-05-01,Delhi,Cochin,DEL → BLR → COK,17:55,22:50,4h 55m,1 stop,No info,5975,5975,5,1,2,2,May,295,1,17,Evening,22,Night,Mid-Range
Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,17:45,10/04/26 1:30,7h 45m,1 stop,No info,8535,8535,6,9,6,2,Jun,465,1,17,Evening,1,Night,Mid-Range
Multiple carriers,2019-05-12,Delhi,Cochin,DEL → BOM → COK,9:55,21:00,11h 5m,1 stop,No info,12537,12537,5,12,6,2,May,665,1,9,Morning,21,Night,Premium
Air India,2019-03-24,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4145,4145,3,24,6,1,Mar,155,0,20,Evening,23,Night,Budget
IndiGo,2019-05-01,Mumbai,Hyderabad,BOM → HYD,9:10,10:40,1h 30m,non-stop,No info,4049,4049,5,1,2,2,May,90,0,9,Morning,10,Morning,Budget
Air Asia,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,22:40,10/05/26 10:40,12h,1 stop,No info,5192,5192,6,9,6,2,Jun,720,1,22,Night,10,Morning,Mid-Range
Air India,2019-05-12,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,6121,6121,5,12,6,2,May,170,0,21,Night,23,Night,Mid-Range
Air India,2019-03-24,Delhi,Cochin,DEL → BOM → COK,3:50,19:15,15h 25m,1 stop,No info,8669,8669,3,24,6,1,Mar,925,1,3,Night,19,Evening,Mid-Range
Multiple carriers,2019-05-01,Delhi,Cochin,DEL → BOM → COK,6:00,19:15,13h 15m,1 stop,No info,8476,8476,5,1,2,2,May,795,1,6,Morning,19,Evening,Mid-Range
SpiceJet,2019-06-09,Mumbai,Hyderabad,BOM → HYD,5:45,7:15,1h 30m,non-stop,No check-in baggage included,2647,2647,6,9,6,2,Jun,90,0,5,Morning,7,Morning,Budget
Jet Airways,2019-05-12,Delhi,Cochin,DEL → BOM → COK,20:55,07/06/26 19:00,22h 5m,1 stop,No info,14714,14714,5,12,6,2,May,1325,1,20,Evening,19,Evening,Premium
Air India,2019-03-24,Delhi,Cochin,DEL → BLR → COK,20:30,07/03/26 8:15,11h 45m,1 stop,No info,10566,10566,3,24,6,1,Mar,705,1,20,Evening,8,Morning,Premium
Jet Airways,2019-05-01,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,7h 30m,1 stop,In-flight meal not included,10262,10262,5,1,2,2,May,450,1,11,Morning,19,Evening,Premium
Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,10:00,22/03/26 1:35,15h 35m,1 stop,No info,8098,8098,6,9,6,2,Jun,935,1,10,Morning,1,Night,Mid-Range
Multiple carriers,2019-05-12,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,6883,6883,5,12,6,2,May,660,1,10,Morning,21,Night,Mid-Range
Multiple carriers,2019-03-24,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,16108,16108,3,24,6,1,Mar,555,1,10,Morning,19,Evening,Premium
SpiceJet,2019-05-01,Kolkata,Banglore,CCU → BLR,17:15,19:45,2h 30m,non-stop,No check-in baggage included,4413,4413,5,1,2,2,May,150,0,17,Evening,19,Evening,Budget
Jet Airways,2019-06-09,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,02/06/26 12:35,22h,2 stops,In-flight meal not included,10919,10919,6,9,6,2,Jun,1320,2,14,Afternoon,12,Afternoon,Premium
IndiGo,2019-05-12,Kolkata,Banglore,CCU → BLR,21:25,10/05/26 0:05,2h 40m,non-stop,No info,4804,4804,5,12,6,2,May,160,0,21,Night,0,Night,Budget
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → DEL → BLR,20:25,07/06/26 10:55,14h 30m,1 stop,In-flight meal not included,10539,10539,3,24,6,1,Mar,870,1,20,Evening,10,Morning,Premium
IndiGo,2019-05-01,Banglore,New Delhi,BLR → DEL,22:20,13/03/26 1:10,2h 50m,non-stop,No info,4377,4377,5,1,2,2,May,170,0,22,Night,1,Night,Budget
Air India,2019-06-09,Banglore,Delhi,BLR → DEL,6:10,8:55,2h 45m,non-stop,No info,6961,6961,6,9,6,2,Jun,165,0,6,Morning,8,Morning,Mid-Range
Multiple carriers,2019-05-12,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,7408,7408,5,12,6,2,May,480,1,13,Afternoon,21,Night,Mid-Range
IndiGo,2019-03-24,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823,4823,3,24,6,1,Mar,175,0,18,Evening,21,Night,Budget
IndiGo,2019-05-01,Kolkata,Banglore,CCU → BLR,14:20,16:55,2h 35m,non-stop,No info,5198,5198,5,1,2,2,May,155,0,14,Afternoon,16,Afternoon,Mid-Range
Jet Airways,2019-06-09,Delhi,Cochin,DEL → BOM → COK,17:30,02/06/26 19:00,25h 30m,1 stop,In-flight meal not included,10262,10262,6,9,6,2,Jun,1530,1,17,Evening,19,Evening,Premium
Vistara,2019-05-12,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,5613,5613,5,12,6,2,May,155,0,17,Evening,19,Evening,Mid-Range
Jet Airways,2019-03-24,Delhi,Cochin,DEL → BOM → COK,20:55,13/06/26 4:25,7h 30m,1 stop,In-flight meal not included,10262,10262,3,24,6,1,Mar,450,1,20,Evening,4,Night,Premium
IndiGo,2019-05-01,Mumbai,Hyderabad,BOM → HYD,9:10,10:40,1h 30m,non-stop,No info,5755,5755,5,1,2,2,May,90,0,9,Morning,10,Morning,Mid-Range
Vistara,2019-06-09,Chennai,Kolkata,MAA → CCU,7:05,9:20,2h 15m,non-stop,No info,3687,3687,6,9,6,2,Jun,135,0,7,Morning,9,Morning,Budget
Jet Airways,2019-05-12,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678,5678,5,12,6,2,May,90,0,19,Evening,21,Night,Mid-Range
Multiple carriers,2019-03-24,Delhi,Cochin,DEL → BOM → COK,18:15,22/03/26 1:35,7h 20m,1 stop,No info,13542,13542,3,24,6,1,Mar,440,1,18,Evening,1,Night,Premium
Jet Airways,2019-05-01,Delhi,Cochin,DEL → BOM → COK,19:15,22/03/26 18:50,23h 35m,1 stop,No info,12347,12347,5,1,2,2,May,1415,1,19,Evening,18,Evening,Premium
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,9:35,19:10,9h 35m,1 stop,In-flight meal not included,12384,12384,6,9,6,2,Jun,575,1,9,Morning,19,Evening,Premium
Jet Airways,2019-05-12,Delhi,Cochin,DEL → JAI → BOM → COK,5:30,10/04/26 4:25,22h 55m,2 stops,No info,10909,10909,5,12,6,2,May,1375,2,5,Morning,4,Night,Premium
IndiGo,2019-03-24,Banglore,Delhi,BLR → DEL,16:55,19:55,3h,non-stop,No info,4823,4823,3,24,6,1,Mar,180,0,16,Afternoon,19,Evening,Budget
IndiGo,2019-05-01,Delhi,Cochin,DEL → BOM → COK,16:00,21:00,5h,1 stop,No info,6069,6069,5,1,2,2,May,300,1,16,Afternoon,21,Night,Mid-Range
Jet Airways,2019-06-09,Delhi,Cochin,DEL → BOM → COK,16:00,22/05/26 19:00,27h,1 stop,In-flight meal not included,12898,12898,6,9,6,2,Jun,1620,1,16,Afternoon,19,Evening,Premium
IndiGo,2019-05-12,Kolkata,Banglore,CCU → BLR,4:40,7:15,2h 35m,non-stop,No info,4804,4804,5,12,6,2,May,155,0,4,Night,7,Morning,Budget
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,8:25,25/03/26 4:45,20h 20m,1 stop,In-flight meal not included,10031,10031,3,24,6,1,Mar,1220,1,8,Morning,4,Night,Premium
IndiGo,2019-05-01,Delhi,Cochin,DEL → HYD → COK,7:35,22:30,14h 55m,1 stop,No info,6442,6442,5,1,2,2,May,895,1,7,Morning,22,Night,Mid-Range
Air India,2019-06-09,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,22/05/26 7:40,19h 40m,2 stops,No info,9653,9653,6,9,6,2,Jun,1180,2,12,Afternoon,7,Morning,Mid-Range
Vistara,2019-05-12,Kolkata,Banglore,CCU → DEL → BLR,17:00,10/06/26 20:20,27h 20m,1 stop,No info,8610,8610,5,12,6,2,May,1640,1,17,Evening,20,Evening,Mid-Range
Jet Airways,2019-03-24,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,No info,14714,14714,3,24,6,1,Mar,300,1,14,Afternoon,19,Evening,Premium
Air India,2019-05-01,Banglore,New Delhi,BLR → AMD → DEL,0:30,23:55,23h 25m,1 stop,1 Long layover,12599,12599,5,1,2,2,May,1405,1,0,Night,23,Night,Premium
Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,4:55,19:00,14h 5m,1 stop,No info,9103,9103,6,9,6,2,Jun,845,1,4,Night,19,Evening,Mid-Range
Jet Airways,2019-05-12,Delhi,Cochin,DEL → BOM → COK,22:50,22/05/26 4:25,5h 35m,1 stop,In-flight meal not included,12898,12898,5,12,6,2,May,335,1,22,Night,4,Night,Premium
SpiceJet,2019-03-24,Mumbai,Hyderabad,BOM → HYD,5:45,7:15,1h 30m,non-stop,No check-in baggage included,2647,2647,3,24,6,1,Mar,90,0,5,Morning,7,Morning,Budget
Jet Airways,2019-05-01,Mumbai,Hyderabad,BOM → HYD,7:10,8:35,1h 25m,non-stop,No info,5678,5678,5,1,2,2,May,85,0,7,Morning,8,Morning,Mid-Range
Jet Airways,2019-06-09,Delhi,Cochin,DEL → BOM → COK,19:15,19/05/26 12:35,17h 20m,1 stop,In-flight meal not included,12373,12373,6,9,6,2,Jun,1040,1,19,Evening,12,Afternoon,Premium
SpiceJet,2019-05-12,Kolkata,Banglore,CCU → BLR,17:15,19:45,2h 30m,non-stop,No info,3847,3847,5,12,6,2,May,150,0,17,Evening,19,Evening,Budget
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → DEL → BLR,17:00,22/05/26 18:00,25h,1 stop,No info,14151,14151,3,24,6,1,Mar,1500,1,17,Evening,18,Evening,Premium
Jet Airways,2019-05-01,Delhi,Cochin,DEL → BOM → COK,8:00,07/03/26 4:25,20h 25m,1 stop,In-flight meal not included,13843,13843,5,1,2,2,May,1225,1,8,Morning,4,Night,Premium
Jet Airways,2019-06-09,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,7229,7229,6,9,6,2,Jun,175,0,15,Afternoon,18,Evening,Mid-Range
Jet Airways,2019-05-12,Mumbai,Hyderabad,BOM → HYD,2:55,4:20,1h 25m,non-stop,In-flight meal not included,4995,4995,5,12,6,2,May,85,0,2,Night,4,Night,Budget
Jet Airways,2019-03-24,Delhi,Cochin,DEL → BOM → COK,20:55,07/06/26 4:25,7h 30m,1 stop,In-flight meal not included,10262,10262,3,24,6,1,Mar,450,1,20,Evening,4,Night,Premium
Jet Airways,2019-05-01,Delhi,Cochin,DEL → JAI → BOM → COK,5:30,10/05/26 4:25,22h 55m,2 stops,In-flight meal not included,13029,13029,5,1,2,2,May,1375,2,5,Morning,4,Night,Premium
Jet Airways,2019-06-09,Delhi,Cochin,DEL → BOM → COK,19:15,10/03/26 4:25,9h 10m,1 stop,In-flight meal not included,14053,14053,6,9,6,2,Jun,550,1,19,Evening,4,Night,Premium
SpiceJet,2019-03-24,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841,3841,3,24,6,1,Mar,150,0,17,Evening,19,Evening,Budget
Air India,2019-05-01,Banglore,New Delhi,BLR → VGA → DEL,10:30,22:55,12h 25m,1 stop,No info,11003,11003,5,1,2,2,May,745,1,10,Morning,22,Night,Premium
Vistara,2019-06-09,Banglore,Delhi,BLR → DEL,11:30,14:20,2h 50m,non-stop,No info,5403,5403,6,9,6,2,Jun,170,0,11,Morning,14,Afternoon,Mid-Range
Multiple carriers,2019-05-12,Delhi,Cochin,DEL → BOM → COK,8:00,18:50,10h 50m,1 stop,No info,15342,15342,5,12,6,2,May,650,1,8,Morning,18,Evening,Premium
Air India,2019-03-24,Kolkata,Banglore,CCU → DEL → COK → BLR,20:30,13/06/26 13:45,17h 15m,2 stops,No info,12224,12224,3,24,6,1,Mar,1035,2,20,Evening,13,Afternoon,Premium
IndiGo,2019-05-01,Chennai,Kolkata,MAA → CCU,19:35,21:55,2h 20m,non-stop,No info,6297,6297,5,1,2,2,May,140,0,19,Evening,21,Night,Mid-Range
SpiceJet,2019-06-09,Kolkata,Banglore,CCU → IXB → BLR,15:55,21:25,5h 30m,1 stop,No info,8844,8844,6,9,6,2,Jun,330,1,15,Afternoon,21,Night,Mid-Range
Multiple carriers,2019-05-12,Delhi,Cochin,DEL → BOM → COK,14:00,02/06/26 1:30,11h 30m,1 stop,No info,13377,13377,5,12,6,2,May,690,1,14,Afternoon,1,Night,Premium
GoAir,2019-03-24,Banglore,New Delhi,BLR → DEL,20:55,23:50,2h 55m,non-stop,No info,5706,5706,3,24,6,1,Mar,175,0,20,Evening,23,Night,Mid-Range
Air India,2019-05-01,Delhi,Cochin,DEL → BOM → COK,21:00,13/06/26 7:40,10h 40m,1 stop,No info,8372,8372,5,1,2,2,May,640,1,21,Night,7,Morning,Mid-Range
IndiGo,2019-06-09,Delhi,Cochin,DEL → BOM → COK,6:40,21:00,14h 20m,1 stop,No info,6526,6526,6,9,6,2,Jun,860,1,6,Morning,21,Night,Mid-Range
IndiGo,2019-05-12,Banglore,Delhi,BLR → DEL,16:55,19:45,2h 50m,non-stop,No info,4823,4823,5,12,6,2,May,170,0,16,Afternoon,19,Evening,Budget
